timestamp,ax,ay,az,gx,gy,gz
0.72,-0.015,-0.071,0.902,9.291,-4.184,-3.722
0.74,0.032,0.021,0.942,-2.074,-8.974,-2.776
0.76,-0.187,-0.023,0.963,-7.899,8.035,-4.314
0.78,-0.082,0.063,0.861,3.318,-2.64,1.48
0.8,0.029,-0.043,0.982,-9.204,-0.094,6.998
0.82,-0.043,0.062,1.056,-3.854,-7.964,1.166
0.84,-0.154,0.195,1.171,-2.282,-1.207,-5.423
0.86,-0.141,0.09,1.03,8.975,3.284,1.508
0.88,0.077,-0.089,0.939,5.272,-8.091,7.578
0.9,-0.132,0.175,0.873,-0.115,-4.43,5.699
0.92,-0.129,-0.046,0.801,6.708,2.62,0.558
0.94,0.06,0.046,0.85,-2.268,-2.339,-7.083
0.96,-0.043,0.08,0.996,2.941,3.844,7.064
0.98,0.112,0.103,0.998,8.905,-3.853,7.299
1.0,-0.196,-0.103,0.936,5.777,-4.441,3.254
1.02,-0.051,-0.102,1.006,8.522,4.333,0.617
1.04,-0.015,-0.115,1.011,-5.915,7.537,-6.361
1.06,-0.188,-0.047,1.199,1.169,-2.614,-1.085
1.08,0.059,0.034,0.856,-9.173,-0.702,7.132
1.1,-0.129,0.057,0.922,2.496,1.177,-1.341
1.12,0.144,0.109,1.018,-5.334,-2.645,-2.456
1.14,0.087,0.136,1.169,2.769,4.558,-1.159
1.16,0.089,-0.132,0.917,-3.302,-8.427,3.819
1.18,-0.037,-0.183,1.109,-8.38,-2.863,7.262
1.2,-0.037,0.048,1.162,-0.964,1.446,-5.469
1.22,-0.167,0.075,0.962,8.372,6.983,6.116
1.24,0.167,-0.091,0.857,-9.125,1.51,2.284
1.26,-0.132,0.026,1.159,1.868,3.205,-4.467
1.28,-0.139,0.194,0.975,-9.611,-3.558,-6.089
1.3,0.041,-0.079,1.165,-6.197,-2.956,-4.683
1.32,0.193,0.169,1.09,-6.12,6.426,-1.899
1.34,0.095,0.178,0.927,-8.327,8.725,4.29
1.36,-0.005,-0.001,1.114,5.798,-5.664,-7.26
1.38,0.157,0.051,0.874,6.235,2.609,7.928
1.4,0.054,0.109,0.806,-8.048,-3.219,-4.98
1.42,0.084,-0.082,1.125,5.404,-8.259,6.792
1.44,0.072,-0.119,1.168,4.051,-2.925,7.225
1.46,-0.018,-0.076,1.171,-4.624,-4.741,-0.184
1.48,0.193,-0.029,1.085,5.352,-2.794,2.79
1.5,-0.08,-0.081,1.078,1.751,1.31,1.467
1.52,-0.197,0.008,1.053,9.562,6.332,8.086
1.54,0.054,0.066,1.197,9.881,-9.16,5.978
1.56,-0.199,0.122,1.03,1.658,1.999,2.904
1.58,0.08,-0.149,0.953,8.644,8.389,2.931
1.6,0.052,-0.126,1.047,1.363,1.273,1.316
1.62,-0.052,-0.116,0.99,-7.84,-2.674,-4.326
1.64,0.167,0.152,0.877,9.426,1.391,-2.247
1.66,-0.194,0.115,1.061,3.777,2.584,-1.575
1.68,0.023,0.051,1.199,2.984,2.765,2.586
1.7,-0.164,0.025,1.084,7.99,6.16,-9.255
1.72,-0.013,0.077,1.159,-6.372,8.116,-8.571
1.74,0.144,-0.127,1.198,-9.757,-9.651,5.013
1.76,0.11,0.051,1.198,6.009,-4.149,-6.535
1.78,0.032,-0.147,1.129,-9.85,-9.921,8.499
1.8,0.107,-0.177,1.073,-5.966,-5.237,-1.729
1.82,0.154,0.126,0.95,0.424,-3.849,0.782
1.84,-0.017,-0.119,0.864,9.676,2.829,6.844
1.86,0.022,0.085,1.135,6.098,-6.323,-7.174
1.88,-0.014,0.021,0.986,-6.858,-8.219,0.955
1.9,-0.16,-0.159,0.958,-6.836,3.902,-2.661
1.92,-0.177,0.177,1.175,9.469,-2.675,-8.292
1.94,-0.187,0.022,1.17,-0.45,-4.963,4.364
1.96,-0.026,0.12,0.91,4.973,-2.922,9.546
1.98,-0.003,0.095,0.908,-7.06,9.996,7.317
2.0,0.017,-0.055,1.067,-0.75,-3.497,3.341
2.02,0.156,0.102,0.899,-7.011,-6.175,-0.129
2.04,0.102,0.114,1.182,-1.657,3.917,-5.281
2.06,0.187,0.012,0.878,6.112,3.951,-6.575
2.08,-0.084,0.018,1.043,-4.815,-7.532,-5.47
2.1,0.053,0.136,1.094,-9.785,-8.819,-2.997
2.12,0.131,0.035,1.172,-6.932,5.549,-7.612
2.14,-0.093,0.036,1.196,9.264,3.959,1.271
2.16,-0.027,-0.188,1.136,-1.47,1.121,-9.445
2.18,-0.188,-0.118,1.136,-0.473,-3.629,8.0
2.2,0.139,0.091,0.809,8.572,3.946,-9.096
2.22,0.061,0.048,0.923,4.326,-8.581,6.339
2.24,-0.015,0.174,0.937,4.339,-6.256,5.844
2.26,-0.029,0.038,1.003,-9.429,9.46,-8.694
2.28,0.185,-0.113,0.844,4.167,-7.194,3.038
2.3,0.109,0.119,1.171,0.476,-8.057,-0.473
2.32,-0.022,-0.023,0.967,8.36,2.917,5.403
2.34,0.02,-0.113,1.091,8.146,4.274,1.577
2.36,0.002,0.176,0.95,0.088,0.372,-5.999
2.38,0.02,-0.026,1.097,3.414,-5.304,5.217
2.4,-0.097,-0.089,1.118,6.828,4.992,9.684
2.42,-0.002,0.137,1.136,-4.257,-0.006,-8.375
2.44,-0.115,-0.2,1.13,2.778,-2.539,-9.732
2.46,0.154,0.071,0.945,-8.041,4.444,-4.085
2.48,-0.1,0.138,0.999,-3.794,-6.416,6.478
2.5,-0.899,1.338,1.987,-131.903,158.269,135.038
2.52,-0.031,-0.072,0.941,-0.005,-6.655,-9.61
2.54,0.153,0.047,1.085,5.243,-2.82,-1.297
2.56,-0.04,0.167,1.108,8.284,-4.888,-1.32
2.58,0.022,-0.092,1.024,4.815,-6.671,7.698
2.6,-0.092,-0.139,0.839,4.181,1.032,-0.559
2.62,-0.151,-0.133,1.159,-1.581,6.243,-3.875
2.64,-0.038,0.083,1.173,9.331,8.921,-7.895
2.66,-0.14,0.083,1.148,-8.887,-8.401,3.014
2.68,0.054,0.12,1.041,6.152,-7.577,-4.555
2.7,-0.068,0.008,1.167,8.502,-3.443,-8.751
2.72,-0.012,0.127,0.961,-1.082,6.621,-2.391
2.74,0.063,-0.185,1.141,-8.196,6.254,1.106
2.76,-0.186,-0.196,0.997,-1.132,4.231,-0.806
2.78,0.016,-0.004,0.93,1.002,-9.159,0.584
2.8,-0.179,0.113,0.865,9.195,-4.546,-4.952
2.82,-0.081,0.038,1.106,-8.227,-1.12,9.943
2.84,0.004,-0.173,0.905,-2.438,0.553,-6.297
2.86,0.044,0.098,1.103,-6.251,-0.789,2.446
2.88,0.198,0.133,0.841,4.702,-1.4,2.037
2.9,0.024,0.127,0.939,-7.396,-8.984,-3.753
2.92,0.026,0.138,0.915,-2.997,3.747,0.273
2.94,0.009,0.168,0.901,2.49,-7.766,-7.36
2.96,0.124,0.057,1.199,5.172,-0.378,-4.907
2.98,-0.199,0.193,1.125,7.748,-7.527,-9.646
3.0,-0.138,0.12,0.88,-4.09,2.815,-0.557
3.02,-0.084,-0.174,0.875,8.9,-5.116,-7.84
3.04,0.025,-0.144,1.051,9.384,-3.553,6.086
3.06,0.177,0.125,0.824,4.307,3.281,6.887
3.08,-0.164,-0.062,0.828,5.338,6.547,3.219
3.1,-0.176,-0.079,1.137,-5.865,-3.294,6.139
3.12,0.06,0.172,1.16,-7.755,-2.707,-4.14
3.14,0.062,-0.026,1.06,-4.141,0.586,6.576
3.16,0.019,-0.049,1.059,4.225,-3.547,1.026
3.18,-0.133,-0.038,1.192,2.772,4.358,0.5
3.2,0.116,-0.007,0.822,5.095,9.712,-2.123
3.22,-0.114,-0.085,1.001,2.846,-3.406,8.83
3.24,0.053,-0.169,1.079,2.496,7.422,7.508
3.26,0.039,0.147,0.901,1.717,8.015,-4.896
3.28,0.178,-0.028,0.99,-1.478,2.631,8.23
3.3,-0.008,0.139,1.054,8.123,-9.558,0.444
3.32,0.074,0.091,1.075,5.704,4.002,5.569
3.34,0.022,-0.158,0.966,-6.992,-1.192,8.249
3.36,-0.028,0.084,1.092,5.327,-2.02,4.427
3.38,-0.04,0.005,0.97,-5.743,-8.434,-2.468
3.4,0.152,-0.055,0.994,3.896,-9.642,4.04
3.42,0.116,-0.149,1.034,-5.325,-6.551,4.551
3.44,-0.183,-0.161,0.852,1.146,-8.736,3.75
3.46,0.019,0.021,1.13,4.216,6.588,-8.193
3.48,0.15,-0.066,0.934,4.609,4.434,-4.629
3.5,0.157,-0.161,0.83,8.389,-8.331,-2.702
3.52,-0.076,-0.131,1.059,-6.202,-9.015,-8.198
3.54,0.062,-0.071,0.865,-2.352,-4.13,9.166
3.56,0.147,-0.123,0.905,4.894,2.007,-5.352
3.58,0.111,-0.013,0.871,-1.819,-8.072,2.433
3.6,-0.079,-0.033,1.15,-3.534,0.56,7.255
3.62,0.069,-0.109,1.164,-0.093,7.911,-8.551
3.64,-0.114,-0.101,0.933,9.585,-2.523,-7.235
3.66,-0.116,-0.036,1.183,0.526,4.333,-5.475
3.68,-0.041,-0.048,0.955,0.308,3.587,-7.892
3.7,0.037,0.187,1.185,3.208,-0.905,-0.588
3.72,0.024,-0.121,0.899,-8.242,-7.255,-8.424
3.74,-0.166,-0.009,1.001,-2.75,-5.005,-5.24
3.76,-0.03,-0.099,1.122,4.052,5.851,1.439
3.78,-0.165,-0.078,1.071,9.289,-8.866,1.396
3.8,-0.072,0.133,1.065,6.853,-5.444,8.154
3.82,-0.075,0.048,0.887,9.908,9.375,-6.527
3.84,0.097,0.036,0.999,-0.956,0.568,2.926
3.86,0.197,0.15,0.992,-8.369,4.998,-2.56
3.88,-0.195,0.107,0.892,-3.245,0.42,-6.162
3.9,-0.144,0.063,0.869,-4.632,-1.584,1.157
3.92,0.137,0.062,1.009,1.653,-3.905,4.868
3.94,-0.171,0.151,1.184,4.601,5.181,-4.705
3.96,0.082,-0.077,1.16,-6.038,8.816,4.425
3.98,0.118,-0.186,0.805,2.516,0.377,-5.433
4.0,0.001,0.055,0.828,3.592,3.612,8.297
4.02,0.094,-0.156,1.091,6.043,-6.222,0.213
4.04,-1.451,-1.979,0.133,-195.328,102.212,-156.285
4.06,0.173,-0.124,0.82,-5.204,-5.778,2.977
4.08,-0.138,-0.133,0.974,7.95,2.867,3.759
4.1,0.019,-0.18,0.864,-2.048,0.126,-7.461
4.12,0.007,-0.101,1.036,6.895,-6.871,1.878
4.14,0.147,0.038,1.067,-7.401,-8.717,0.946
4.16,-0.088,0.08,1.138,1.618,7.268,7.81
4.18,-0.11,-0.074,1.02,7.229,-5.591,-8.159
4.2,-0.128,0.121,0.828,-7.173,0.073,-0.321
4.22,0.139,0.198,1.148,7.766,7.935,4.868
4.24,-0.06,-0.031,1.081,-4.574,4.823,7.53
4.26,0.095,0.134,1.116,-2.288,0.084,-4.817
4.28,0.061,0.121,1.168,-0.853,9.346,1.87
4.3,-0.17,-0.086,0.923,9.357,-5.617,2.876
4.32,0.043,0.042,1.071,-4.719,-3.992,-5.208
4.34,-0.158,0.084,1.143,-5.618,0.152,2.005
4.36,0.003,0.121,1.125,0.391,3.612,-2.309
4.38,-0.159,-0.051,1.195,-2.08,4.468,5.624
4.4,-0.102,-0.193,1.055,-5.466,7.557,-9.258
4.42,0.046,0.1,0.992,7.971,4.566,-9.833
4.44,-0.144,-0.075,1.067,-5.31,6.885,-0.277
4.46,-0.101,0.115,1.027,-4.1,8.959,-0.69
4.48,-0.161,-0.002,0.856,-3.377,-5.248,-7.67
4.5,-0.186,0.027,1.035,-3.364,7.333,5.916
4.52,-0.134,0.121,0.873,6.178,-3.194,6.091
4.54,0.148,0.05,0.991,-6.983,-4.079,-7.497
4.56,-0.124,0.068,1.04,-8.804,4.735,-4.621
4.58,0.027,-0.199,1.189,5.185,-5.993,-5.696
4.6,0.153,-0.085,1.084,2.254,3.836,-5.721
4.62,0.124,0.09,1.068,7.238,7.573,-6.321
4.64,-0.09,0.129,1.092,-8.643,-4.757,-4.624
4.66,0.049,0.076,1.024,-3.035,-0.237,9.276
4.68,-0.07,0.045,0.967,-0.304,0.195,-7.072
4.7,-0.155,0.02,1.172,9.083,-9.475,-0.001
4.72,0.097,0.044,1.029,5.23,5.001,4.629
4.74,-0.094,-0.005,1.165,8.865,-3.268,9.553
4.76,0.139,0.11,0.902,0.194,-1.252,2.198
4.78,0.03,-0.101,1.054,-4.728,0.28,-8.652
4.8,-0.091,0.065,1.149,1.334,-9.967,-7.633
4.82,0.109,-0.101,1.008,-9.794,-4.297,-2.424
4.84,0.021,0.032,0.822,4.415,-7.446,7.014
4.86,0.075,-0.108,1.134,-6.019,-3.052,-0.273
4.88,-0.199,-0.022,1.016,-1.673,9.291,8.281
4.9,0.004,0.094,0.961,0.05,8.691,4.378
4.92,0.137,-0.052,0.894,9.447,5.443,7.608
4.94,-0.199,-0.181,0.855,1.839,3.606,-4.166
4.96,-0.145,0.045,1.044,5.4,-8.11,-5.35
4.98,-0.156,-0.064,0.834,1.129,-8.029,7.252
5.0,0.195,0.199,0.944,-4.599,-9.449,-7.039
5.02,-0.041,0.107,1.084,-0.833,3.39,-3.176
5.04,0.068,-0.027,0.909,8.346,1.577,-0.668
5.06,0.008,0.063,1.073,-0.11,8.063,1.291
5.08,0.02,-0.158,1.198,7.699,-5.786,5.091
5.1,-0.117,-0.026,1.17,-7.059,-2.918,4.031
5.12,-0.189,0.045,1.152,-3.1,-3.925,-4.187
5.14,0.062,0.074,0.983,-7.362,5.417,0.095
5.16,-0.121,0.04,0.989,6.01,1.463,-2.736
5.18,0.135,-0.096,1.056,5.519,-7.501,4.349
5.2,0.133,0.055,1.013,-1.688,7.448,3.801
5.22,0.073,0.012,1.127,3.108,-4.753,-2.275
5.24,0.107,0.107,0.856,-2.556,6.19,-2.914
5.26,0.08,-0.019,0.962,-9.148,-1.009,6.574
5.28,0.122,0.072,0.917,-2.143,-6.987,9.15
5.3,-0.145,-0.185,0.846,8.896,-8.154,4.011
5.32,-0.099,0.094,1.168,5.84,-9.702,-5.554
5.34,-0.197,0.149,1.025,9.153,4.306,-0.951
5.36,-0.017,-0.192,1.181,8.387,-4.431,-8.718
5.38,0.119,0.011,1.15,-9.202,-5.465,6.394
5.4,-0.179,-0.116,0.93,-6.492,5.445,-7.338
5.42,0.077,-0.141,0.971,2.496,4.97,7.027
5.44,0.046,-0.199,0.976,-3.909,-2.682,-3.673
5.46,0.141,0.072,0.974,-9.837,-7.631,4.692
5.48,-0.03,0.153,0.827,7.493,-2.534,9.478
5.5,-0.064,0.051,0.914,5.531,8.937,5.213
5.52,-0.178,-0.15,1.19,7.995,4.354,7.129
5.54,-0.143,-0.17,0.993,-2.095,-6.866,-9.687
5.56,-0.176,-0.111,0.841,-8.606,4.361,-0.363
5.58,-0.121,-0.002,1.127,-9.704,3.671,-3.64
5.6,0.137,-0.13,1.128,7.54,5.362,7.38
5.62,-0.144,-0.156,1.172,-9.769,1.189,-5.703
5.64,0.025,0.036,1.009,0.072,1.261,-9.672
5.66,0.149,-0.183,0.943,-0.505,9.918,-1.943
5.68,0.195,0.06,1.062,-3.116,-7.211,3.466
5.7,0.171,0.046,1.015,3.077,4.424,-2.603
5.72,0.155,0.051,0.904,3.055,0.531,1.16
5.74,0.151,-0.163,1.192,-9.757,8.89,-0.792
5.76,0.185,0.174,1.161,-7.943,-2.479,5.081
5.78,0.016,-0.161,1.078,-6.864,9.068,-1.905
5.8,-0.03,0.153,1.046,4.211,9.817,1.415
5.82,-0.071,-0.083,1.186,-1.915,7.353,-7.679
5.84,-0.177,0.178,1.045,2.148,-7.032,-0.431
5.86,0.033,-0.04,1.168,6.771,1.778,7.893
5.88,0.086,-0.167,0.933,-0.097,-6.539,-3.184
5.9,-0.07,-0.069,0.947,8.806,-3.981,3.518
5.92,0.012,0.045,0.859,-5.987,9.785,-0.104
5.94,-0.073,0.069,0.912,6.987,9.014,2.078
5.96,0.116,0.178,0.864,1.108,0.893,8.66
5.98,0.016,0.171,0.869,-6.315,-7.431,7.019
6.0,0.1,0.174,0.867,1.623,8.858,7.078
6.02,-0.075,0.077,1.033,8.199,5.37,-6.234
6.04,-0.154,-0.194,0.935,-6.149,7.303,-2.366
6.06,0.158,0.092,1.065,-8.283,4.683,-6.526
6.08,-0.08,-0.052,1.069,1.323,4.373,2.63
6.1,-0.027,-0.167,0.962,8.948,-1.885,-8.49
6.12,-0.123,0.146,0.938,-6.217,-6.671,-4.034
6.14,0.073,0.021,1.094,-2.455,-5.605,-3.105
6.16,0.13,0.052,0.835,1.91,-9.236,0.534
6.18,-0.164,-0.039,1.148,-3.505,-8.314,-1.668
6.2,0.131,-0.038,0.807,-1.852,-5.229,-9.103
6.22,0.18,0.188,0.991,-3.097,0.005,1.274
6.24,-0.065,-0.141,0.909,9.848,-2.88,-1.753
6.26,0.194,-0.045,0.913,6.678,7.904,-1.88
6.28,-0.177,0.098,1.055,2.808,-9.505,7.271
6.3,-0.151,-0.085,1.176,-6.325,6.876,-0.052
6.32,0.129,0.115,0.973,-7.282,3.896,-6.846
6.34,-0.182,0.154,0.987,4.941,6.016,-0.603
6.36,-0.046,-0.105,1.107,-9.893,-9.016,8.771
6.38,-0.116,-0.144,0.992,0.27,-6.457,-2.057
6.4,0.154,0.05,0.935,-6.727,9.212,-1.92
6.42,0.183,-0.133,0.892,-7.578,7.29,5.785
6.44,-0.168,-0.059,0.938,-6.019,8.31,4.595
6.46,-0.015,0.146,0.867,5.681,-1.614,1.487
6.48,-0.088,-0.034,0.85,-7.256,0.928,-5.213
6.5,0.047,0.172,1.184,9.727,6.214,2.115
6.52,0.043,0.007,1.144,8.286,8.877,8.79
6.54,0.152,0.044,1.082,9.149,6.916,0.256
6.56,0.048,0.157,0.955,-0.976,0.797,-7.017
6.58,0.177,-0.008,0.931,3.401,-8.556,0.551
6.6,-0.05,-0.063,1.143,-6.944,7.049,-9.371
6.62,0.179,0.048,1.126,-8.747,4.873,2.513
6.64,-0.012,-0.144,1.19,-4.247,5.195,-8.762
6.66,0.061,0.016,1.009,0.395,7.074,-6.729
6.68,-0.048,-0.085,1.033,-9.735,9.906,6.904
6.7,-0.131,0.186,0.802,-4.147,-9.322,3.604
6.72,-0.025,0.084,0.865,0.463,-1.943,-5.564
6.74,-0.176,-0.174,1.117,9.78,2.191,1.885
6.76,0.104,0.024,1.031,9.249,4.925,8.324
6.78,0.053,-0.158,1.159,4.012,8.119,-0.059
6.8,-0.189,-0.095,1.058,8.666,4.654,-4.428
6.82,-0.077,-0.033,1.094,6.052,2.672,-2.763
6.84,-1.215,1.292,1.817,103.363,-121.021,-181.027
6.86,-0.12,0.091,0.807,2.51,5.321,-4.188
6.88,-0.083,0.084,0.907,0.68,9.843,-9.287
6.9,0.104,0.002,0.935,2.737,8.046,1.399
6.92,0.182,-0.037,1.146,-4.71,-6.658,-6.915
6.94,-0.05,-0.167,0.859,-3.976,-4.011,-0.033
6.96,0.141,-0.002,0.983,9.24,2.271,-9.914
6.98,0.013,0.045,1.034,-6.109,7.83,2.704
7.0,-0.013,-0.055,0.807,4.247,-7.224,9.319
7.02,0.016,-0.198,1.113,-2.2,6.324,2.306
7.04,-0.028,-0.062,0.844,4.535,6.093,-3.844
7.06,0.118,-0.016,0.828,-1.699,1.597,4.701
7.08,0.013,0.04,1.12,-7.471,0.105,-0.475
7.1,0.163,-0.032,0.849,-7.771,6.591,-9.746
7.12,-0.034,-0.194,0.97,8.301,-6.821,7.876
7.14,-0.162,0.108,0.966,-0.928,-5.292,8.441
7.16,-0.059,0.195,0.909,4.029,0.562,8.151
7.18,0.172,0.03,1.178,-9.744,-7.054,-3.059
7.2,-0.166,-0.118,1.114,2.436,6.385,-7.999
7.22,-0.068,0.074,0.835,-9.22,8.47,-8.483
7.24,0.199,0.174,0.985,3.558,-1.935,-6.299
7.26,-0.193,-0.182,0.895,-3.983,-5.183,8.384
7.28,0.108,0.139,1.199,8.495,9.829,9.635
7.3,-0.179,-0.166,1.195,9.598,-8.377,-7.006
7.32,-0.093,0.2,1.003,-4.388,0.194,7.155
7.34,-0.182,-0.106,1.159,-0.178,9.493,-2.539
7.36,-0.011,-0.068,0.858,-8.627,-2.124,-1.958
7.38,-0.196,0.137,1.185,8.023,-9.08,9.287
7.4,0.021,-0.139,0.82,4.531,-2.159,0.167
7.42,-0.04,0.125,1.131,-7.074,-8.791,6.384
7.44,-0.098,0.186,0.842,-7.667,6.667,-3.689
7.46,-0.089,-0.15,1.023,-1.207,-9.491,-1.816
7.48,-0.067,-0.106,0.934,6.247,-1.718,-6.467
7.5,-0.13,0.085,0.804,-7.367,-9.264,1.491
7.52,-0.041,-0.175,1.195,-2.171,8.151,4.662
7.54,-0.157,-0.139,1.1,-7.683,-7.353,-4.446
7.56,-0.035,0.067,0.975,-4.0,-4.82,-3.547
7.58,-0.072,0.106,0.925,-4.7,5.775,-6.043
7.6,-0.087,-0.129,0.833,-7.317,3.595,-0.102
7.62,-0.054,-0.019,1.123,-7.626,-4.464,8.043
7.64,-0.099,0.188,0.979,-9.678,2.894,1.26
7.66,0.169,0.11,1.083,-3.874,8.84,-4.777
7.68,0.043,0.059,0.93,5.164,1.27,-5.623
7.7,0.054,-0.148,0.851,-5.876,-8.21,-9.309
7.72,0.14,-0.098,1.027,3.982,7.349,1.934
7.74,0.098,0.089,1.137,-7.183,-7.669,6.306
7.76,0.197,0.046,1.093,3.654,7.222,-9.636
7.78,0.186,-0.183,1.108,5.892,5.99,6.114
7.8,0.154,0.002,0.852,4.952,4.365,7.698
7.82,-0.198,0.033,0.963,6.65,7.895,-7.435
7.84,-0.052,-0.053,0.89,-8.343,5.152,6.088
7.86,-0.114,0.05,0.813,-8.569,-8.936,-9.462
7.88,-0.017,-0.044,1.067,-5.396,1.499,0.211
7.9,-0.041,-0.165,0.909,-0.007,-0.453,6.814
7.92,0.117,0.145,1.126,-9.158,1.42,-1.163
7.94,0.058,0.08,1.177,4.526,6.111,3.142
7.96,0.141,-0.152,1.038,3.131,7.452,3.184
7.98,0.109,0.1,1.066,7.078,-6.765,9.886
8.0,0.027,0.114,1.009,0.305,-0.943,-4.378
8.02,-0.128,-0.001,0.906,-3.948,5.531,3.862
8.04,-0.165,0.047,1.118,6.55,-7.142,4.181
8.06,-0.072,-0.119,1.194,-6.177,-5.751,2.95
8.08,-0.178,0.165,0.829,4.715,7.032,9.27
8.1,0.175,0.189,0.949,-2.347,9.268,-1.378
8.12,0.094,-0.055,1.073,3.449,-9.482,8.846
8.14,-0.122,0.126,0.853,-6.673,-6.107,1.128
8.16,0.063,0.031,1.044,6.693,-2.561,-9.414
8.18,0.074,-0.164,1.097,-0.094,6.395,3.217
8.2,-0.17,-0.095,0.82,-4.317,-1.714,5.302
8.22,0.112,-0.151,0.861,8.121,5.462,6.607
8.24,0.15,0.065,1.147,-5.944,4.937,1.038
8.26,0.074,-0.007,1.148,9.926,-3.628,2.763
8.28,-0.108,-0.083,1.08,0.348,-8.695,8.487
8.3,-0.197,0.106,0.898,9.694,8.915,8.909
8.32,-0.127,0.168,1.046,9.734,-6.013,0.88
8.34,1.248,-1.14,1.589,-135.653,-172.377,146.557
8.36,0.119,0.01,1.032,6.853,-5.613,3.797
8.38,0.154,0.096,1.113,8.865,-8.91,-7.088
8.4,0.1,-0.157,1.04,-1.755,9.105,2.127
8.42,-0.065,0.195,1.105,9.392,-5.475,2.358
8.44,-0.097,-0.173,1.187,3.802,-5.398,-2.101
8.46,-0.197,0.041,0.829,4.473,4.338,7.324
8.48,0.028,-0.046,1.135,-8.799,7.98,6.057
8.5,-0.005,-0.084,1.09,8.398,-3.665,3.167
8.52,0.055,0.031,0.971,-2.381,6.496,-6.515
8.54,-0.102,0.001,0.993,-2.546,7.778,7.908
8.56,-0.085,0.191,0.955,5.795,1.435,8.221
8.58,0.182,0.081,0.853,-1.974,-4.473,-7.451
8.6,-0.042,-0.02,0.817,6.316,1.319,4.06
8.62,0.042,0.054,1.192,8.498,4.754,-4.8
8.64,-0.048,0.172,0.813,6.578,5.528,6.231
8.66,-0.073,0.052,1.043,-6.416,-0.861,3.529
8.68,0.154,-0.194,0.806,-1.093,5.111,1.18
8.7,-0.028,-0.042,0.892,8.721,9.266,-1.202
8.72,0.162,-0.168,0.93,8.278,0.503,5.67
8.74,-0.034,-0.138,1.072,-0.58,-1.168,7.529
8.76,0.011,0.174,1.105,2.504,-7.705,-4.784
8.78,-0.121,0.08,1.105,-9.911,-9.0,-0.875
8.8,-0.036,0.101,0.805,4.468,6.245,6.765
8.82,0.083,0.175,1.14,-1.81,-0.065,4.012
8.84,-0.148,0.046,0.939,-5.012,-0.6,2.29
8.86,-0.17,-0.128,0.817,9.754,0.079,-5.362
8.88,-0.196,0.031,0.808,5.35,5.143,-6.303
8.9,-0.167,-0.125,1.076,-3.952,-3.262,3.646
8.92,0.048,-0.004,0.988,8.138,8.471,-0.61
8.94,-0.2,0.16,0.991,5.235,2.874,-2.307
8.96,0.06,0.096,1.172,-6.614,8.672,2.961
8.98,0.13,0.095,0.865,-1.176,-6.356,5.209
9.0,0.032,-0.191,1.018,9.514,-5.014,8.452
9.02,-0.095,0.161,0.94,-8.081,1.221,9.337
9.04,0.183,0.094,0.971,6.682,6.506,-6.785
9.06,-0.134,0.115,1.028,-8.164,-4.254,1.667
9.08,-0.103,-0.18,0.854,0.985,-5.432,-5.701
9.1,0.195,0.067,1.013,0.697,0.136,8.291
9.12,0.033,0.179,1.18,9.514,-0.27,0.098
9.14,0.165,-0.074,0.906,-5.021,3.022,-8.626
